[2024-10-24 21:32:03] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-24 21:32:03] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-10-24 21:32:03] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-10-24 21:32:04] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-10-24 21:32:04] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-10-24 21:32:04] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-10-24 21:32:09] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523\
[2024-10-24 21:32:09] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/CIFI/
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-search-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-search.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-share-buttons-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-share-buttons.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-slides-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-slides.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-social-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-social.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-sticky-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-sticky.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-table-of-contents-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-table-of-contents.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-theme-builder-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-theme-builder.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-video-playlist-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-video-playlist.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-rtl.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/woocommerce-notices.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/css/woocommerce-notices.min.css
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/images/announcements/license-expired.png
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/images/logo-placeholder.png
[2024-10-24 21:32:19] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/CIFI/wp-content/plugins/elementor-pro/assets/data/responsive-widgets.json
[2024-10-24 21:32:25] [class-ss-archive-creation-job.php:175] We've found our next task: fetch_urls
[2024-10-24 21:32:28] [class-ss-archive-creation-job.php:136] Current task: fetch_urls
[2024-10-24 21:32:28] [class-ss-archive-creation-job.php:153] Performing task: fetch_urls
[2024-10-24 21:32:28] [class-ss-fetch-urls-task.php:69] Total pages: 881; Pages remaining: 881
[2024-10-24 21:32:28] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/
[2024-10-24 21:32:28] [class-ss-task.php:58] [PAGES STATUS] Remaining:50; Total: 881
[2024-10-24 21:32:28] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:29] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcecf2de3-EDgXWo.tmp
[2024-10-24 21:32:29] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/?simply_static_page=2029
[2024-10-24 21:32:29] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/?simply_static_page=2029
[2024-10-24 21:32:32] [class-ss-url-fetcher.php:103] Filesize: 159181 bytes
[2024-10-24 21:32:32] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/html; charset=UTF-8
[2024-10-24 21:32:32] [class-ss-url-fetcher.php:233] New filename for static page: /index.html
[2024-10-24 21:32:32] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcecf2de3-EDgXWo.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/index.html
[2024-10-24 21:32:32] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:159] Adding 106 URLs to the queue
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:33] [class-ss-page.php:119] Checking Content Identical:02aa2284e4506443d754708ba874f8e94fddfade===. Value: FALSE
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-10-24 21:32:33] [class-ss-task.php:58] [PAGES STATUS] Remaining:49; Total: 881
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf1ae8a1-T4mSFb.tmp
[2024-10-24 21:32:33] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json?simply_static_page=2030
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json?simply_static_page=2030
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:103] Filesize: 851 bytes
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: application/json
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf1ae8a1-T4mSFb.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:33] [class-ss-page.php:119] Checking Content Identical:c2be3106d54785ca1e0cf07759baed3487deaf19===. Value: FALSE
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2024-10-24 21:32:33] [class-ss-task.php:58] [PAGES STATUS] Remaining:48; Total: 881
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf1cc6ee-ZrVbXL.tmp
[2024-10-24 21:32:33] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate.css?simply_static_page=2031
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate.css?simply_static_page=2031
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:103] Filesize: 13369 bytes
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf1cc6ee-ZrVbXL.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:33] [class-ss-page.php:119] Checking Content Identical:eb934f5b426f03f62beaff2ebbdd82c6f2759ec4===. Value: FALSE
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2024-10-24 21:32:33] [class-ss-task.php:58] [PAGES STATUS] Remaining:47; Total: 881
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf1e1fc7-KVpu0x.tmp
[2024-10-24 21:32:33] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css?simply_static_page=2032
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css?simply_static_page=2032
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:103] Filesize: 8449 bytes
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2024-10-24 21:32:33] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf1e1fc7-KVpu0x.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:33] [class-ss-page.php:119] Checking Content Identical:96fd188c16f8980195ac1e89dbcb46c6fb924d98===. Value: FALSE
[2024-10-24 21:32:33] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2024-10-24 21:32:33] [class-ss-task.php:58] [PAGES STATUS] Remaining:46; Total: 881
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf200854-bUoHP4.tmp
[2024-10-24 21:32:34] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?simply_static_page=2033
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?simply_static_page=2033
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:103] Filesize: 18468 bytes
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf200854-bUoHP4.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:34] [class-ss-page.php:119] Checking Content Identical:5103ec2fbb389568ebf5cfe4fd721f3df2ff7aec===. Value: FALSE
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css
[2024-10-24 21:32:34] [class-ss-task.php:58] [PAGES STATUS] Remaining:45; Total: 881
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf20db3a-e05n5f.tmp
[2024-10-24 21:32:34] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css?simply_static_page=2034
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css?simply_static_page=2034
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:103] Filesize: 518 bytes
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf20db3a-e05n5f.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:34] [class-ss-page.php:119] Checking Content Identical:8d866704c52cec605fe0331f3b764221cdef7623===. Value: FALSE
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.min.css
[2024-10-24 21:32:34] [class-ss-task.php:58] [PAGES STATUS] Remaining:44; Total: 881
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf21aa8d-T3I5Pb.tmp
[2024-10-24 21:32:34] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.min.css?simply_static_page=2035
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.min.css?simply_static_page=2035
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:103] Filesize: 426 bytes
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/bounce.min.css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf21aa8d-T3I5Pb.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.min.css
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:34] [class-ss-page.php:119] Checking Content Identical:98b15a2cdcdc8659ed5abed1e30f2be2264bcff8===. Value: FALSE
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css
[2024-10-24 21:32:34] [class-ss-task.php:58] [PAGES STATUS] Remaining:43; Total: 881
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf2268d7-5msrCM.tmp
[2024-10-24 21:32:34] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css?simply_static_page=2036
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css?simply_static_page=2036
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:103] Filesize: 493 bytes
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf2268d7-5msrCM.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:34] [class-ss-page.php:119] Checking Content Identical:0cc600529da770aee800b9d1e1f21006707806c2===. Value: FALSE
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.min.css
[2024-10-24 21:32:34] [class-ss-task.php:58] [PAGES STATUS] Remaining:42; Total: 881
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf233126-BxNkBe.tmp
[2024-10-24 21:32:34] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.min.css?simply_static_page=2037
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.min.css?simply_static_page=2037
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:103] Filesize: 367 bytes
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.min.css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf233126-BxNkBe.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.min.css
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:34] [class-ss-page.php:119] Checking Content Identical:8a4a966af6668b1246c3f4bb1c333d6bb7768355===. Value: FALSE
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.css
[2024-10-24 21:32:34] [class-ss-task.php:58] [PAGES STATUS] Remaining:41; Total: 881
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf23fe51-9XXgAU.tmp
[2024-10-24 21:32:34] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.css?simply_static_page=2038
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.css?simply_static_page=2038
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:103] Filesize: 427 bytes
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf23fe51-9XXgAU.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.css
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:34] [class-ss-page.php:119] Checking Content Identical:4e22b8233f848c11971dad21a7506287ef8833b8===. Value: FALSE
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css
[2024-10-24 21:32:34] [class-ss-task.php:58] [PAGES STATUS] Remaining:40; Total: 881
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf24d0fe-cPKt1k.tmp
[2024-10-24 21:32:34] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css?simply_static_page=2039
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css?simply_static_page=2039
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:103] Filesize: 330 bytes
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/671abcf24d0fe-cPKt1k.tmp to C:\xampp\htdocs\CIFI/wp-content/uploads\simply-static\temp-files/simply-static-1-1729805523/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-24 21:32:34] [class-ss-page.php:119] Checking Content Identical:9244d228042d4f398444442376002646faa9af80===. Value: FALSE
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:72] URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.css
[2024-10-24 21:32:34] [class-ss-task.php:58] [PAGES STATUS] Remaining:39; Total: 881
[2024-10-24 21:32:34] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/671abcf25a129-R9s1J1.tmp
[2024-10-24 21:32:34] [class-ss-page-handler.php:38] URL Prepared:http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.css?simply_static_page=2040
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/CIFI/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.css?simply_static_page=2040
[2024-10-24 21:32:34] [class-ss-url-fetcher.php:103] Filesize: 427 bytes
